newspaper,person,name_variation,page_number,date,url,previous page
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2034,"18/12/2014, QUINTA-FEIRA, PÁGINA b10",https://acervo.estadao.com.br/pagina/#!/20141218-44256-nac-37-eng-b10-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2034
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"26/12/2010, DOMINGO, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20101226-42803-spo-3-edi-a3-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"26/12/2010, DOMINGO, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20101226-42803-nac-3-edi-a3-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"30/03/2010, TERÇA-FEIRA, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20100330-42532-nac-3-edi-a3-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"14/03/2010, DOMINGO, PÁGINA c2",https://acervo.estadao.com.br/pagina/#!/20100314-42516-spo-52-cid-c2-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"14/03/2010, DOMINGO, PÁGINA c2",https://acervo.estadao.com.br/pagina/#!/20100314-42516-nac-52-cid-c2-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"12/03/2010, SEXTA-FEIRA, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20100312-42514-spo-3-edi-a3-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"12/03/2010, SEXTA-FEIRA, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20100312-42514-nac-3-edi-a3-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"04/10/2010, SEGUNDA-FEIRA, PÁGINA tam5",https://acervo.estadao.com.br/pagina/#!/20101004-42720-spo-95-epl-tam5-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"04/10/2010, SEGUNDA-FEIRA, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20101004-42720-spo-3-edi-a3-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
estadao,Carlos Alberto Costa Filho,Carlos+Filho,2035,"04/10/2010, SEGUNDA-FEIRA, PÁGINA tams5",https://acervo.estadao.com.br/pagina/#!/20101004-42720-spo-103-epl-tams5-not/busca/Carlos,https://acervo.estadao.com.br/procura/busca.php?&busca=Carlos+Filho&decade=2010%7C2010&page=2035
